enviro,observer,task,ori,n_runs,threshold,t_sem,slope,s_sem
web,p20,spatial,plus45,5,11.9902,0.6398,5.2563,0.6158
web,p21,temporal,horizontal,4,0.5593,0.1079,0.1089,0.0773
web,p21,temporal,vertical,5,1.0551,0.0811,0.5381,0.0743
web,p21,temporal,minus45,5,6.5957,0.2157,2.6671,0.1944
web,p21,temporal,plus45,5,6.7224,0.389,1.9901,0.3502
web,p21,spatial,horizontal,5,1.2688,0.038,0.4998,0.0341
web,p21,spatial,vertical,5,1.6149,0.0142,0.4423,0.0126
web,p21,spatial,minus45,5,11.3431,0.2127,2.552,0.1876
web,p21,spatial,plus45,5,10.5325,0.3323,3.0631,0.2946
web,p22,temporal,horizontal,13,0.8588,0.0368,0.4773,0.0339
web,p22,temporal,vertical,12,0.9484,0.0139,0.3519,0.0119
web,p22,temporal,minus45,14,6.5839,0.1414,2.0003,0.1267
web,p22,temporal,plus45,15,9.0223,0.1953,3.4928,0.1764
web,p22,spatial,horizontal,13,2.4815,0.0421,0.8609,0.0385
web,p22,spatial,vertical,10,3.1823,0.0622,0.6925,0.0561
web,p22,spatial,minus45,10,15.5072,0.2443,3.6049,0.2206
web,p22,spatial,plus45,14,19.2725,0.3313,5.2506,0.3447
web,p23,temporal,horizontal,5,0.5799,0.025,0.2199,0.0278
web,p23,temporal,vertical,5,0.9091,0.0387,0.3598,0.0344
web,p23,temporal,minus45,5,8.5256,0.3192,2.7619,0.2836
web,p23,temporal,plus45,5,11.2699,0.772,5.7206,0.7682
web,p23,spatial,horizontal,5,1.3453,0.0379,0.4486,0.0338
web,p23,spatial,vertical,6,2.2468,0.058,0.6285,0.0523
web,p23,spatial,minus45,5,23.2602,0.9313,7.1894,0.9773
web,p23,spatial,plus45,5,20.4585,0.5772,5.5501,0.6158
web,p24,temporal,horizontal,4,1.6207,0.0808,0.6122,0.0726
web,p24,temporal,vertical,5,1.3293,0.1379,0.8671,0.1347
web,p24,temporal,minus45,5,13.302,0.8816,7.087,0.9703
web,p24,temporal,plus45,5,12.9581,0.4086,3.5056,0.3639
web,p24,spatial,horizontal,5,1.6365,0.0396,0.4219,0.035
web,p24,spatial,vertical,5,2.326,0.0419,0.6917,0.0373
web,p24,spatial,minus45,5,18.9115,0.4596,3.7443,0.4413
web,p24,spatial,plus45,5,17.7348,0.5774,3.6648,0.5383
web,p25,temporal,horizontal,5,1.0937,0.0199,0.3326,0.0179
web,p25,temporal,vertical,7,1.1902,0.0266,0.2935,0.0244
web,p25,temporal,minus45,5,7.7403,0.4055,1.5791,0.377
web,p25,temporal,plus45,5,10.0988,0.6119,4.3516,0.5665
web,p25,spatial,horizontal,6,1.4638,0.0336,0.5857,0.0305
web,p25,spatial,vertical,6,1.7768,0.0561,0.6679,0.051
web,p25,spatial,minus45,5,12.8948,0.4749,4.4389,0.4368
web,p25,spatial,plus45,5,14.384,0.4332,2.7821,0.383
web,p26,temporal,horizontal,6,1.195,0.0304,0.3028,0.0251
web,p26,temporal,vertical,6,0.9455,0.0312,0.3171,0.0262
web,p26,temporal,minus45,6,7.0641,0.0208,0.1389,0.0114
web,p26,temporal,plus45,5,7.0436,0.1756,2.3433,0.157
web,p26,spatial,horizontal,5,2.0269,0.0284,0.4783,0.0251
web,p26,spatial,vertical,7,1.8666,0.0354,0.5383,0.0314
web,p26,spatial,minus45,5,11.1162,0.2404,2.6566,0.2122
